"rep","b","g","x","c","a","w","r","mu","m","theta","tau_s","ep_s","S.pos","P.pos","I_s.pos","I_p.pos","H.pos","S.neg","P.neg","I_s.neg","I_p.neg","H.neg","S.pt.eq","P.pt.eq","I_s.pt.eq","I_p.pt.eq","H.pt.eq","S.cyc1","P.cyc1","I_s.cyc1","I_p.cyc1","H.cyc1","S.cyc2","P.cyc2","I_s.cyc2","I_p.cyc2","H.cyc2","S.NA","P.NA","I_s.NA","I_p.NA","H.NA","qual"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.72152252873727e-16","1.62461408421478e-16","1.25332137596462e-16","1.33079645082904e-16","2.19599429304304e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.26985112515608e-16","0","9.84678434438016e-17","1.44363384806226e-16","2.562248213772e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","5.12899684988351e-17","0","1.08195295585206e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2.5,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","8.03151605846806e-17","8.49504254682762e-17","6.66945272060765e-17","9.90385936419949e-17","1.09186833959626e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2.5,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.25037518456947e-16","6.10182796311825e-17","9.81046924113938e-17","0","1.86756989084677e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2.5,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","1.22767551377851e-16","1.16046498972703e-16","9.41381379474195e-17","1.15229853041854e-16","1.75429393616929e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2.5,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,2.5,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","3.60541351795793e-17","1.23538378636159e-16","7.56048592767987e-17","1.7532917467194e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","2.98584705468341e-16","2.78435744158452e-16","2.84463761949161e-16","2.5183876890952e-16","3.19120937733009e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3.5,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3.5,0.4,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","2.09946859167809","2.099468591613","2.09946859162241","2.09946859155693","2.09946859157242","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3.5,0.6,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3.5,0.8,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,3.5,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,4,0.2,27,"FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","3.34188446284471","3.34188446274591","3.34188446273932","3.34188446263347","3.34188446251414","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,4,0.4,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,4,0.6,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3.30137527092617,0.58734971920494,1,0.8,0.1,1,2,0.15,0.499053617543541,4,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,2,0.15,0.160900252382271,2,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,2,0.15,0.160900252382271,2,0.4,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,2,0.15,0.160900252382271,2,0.6,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","8.33511349516081e-17","0","1.55490146954263e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,2,0.15,0.160900252382271,2,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,2,0.15,0.160900252382271,2,1,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","6.49702686178896e-17","0","2.03305979583551e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
2,3.00612060991383,0.430661812005565,1,0.8,0.1,1,2,0.15,0.160900252382271,2.5,0.2,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","0","0","0","0","0","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
