"rep","b","theta","g","x","c","a","w","r","mu","m","ep_s","tau_s","tau_p","timestep","S","P","I_s","I_p","H","P.prop","i_s_mean","i_p_mean","H_SP","seeds"
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0,100,0.00233999365639426,0.000390079044033064,-6.26452890308955e-66,-1.00569590943533e-32,0.0154722301334018,0.14288229173238,-2.67715636150171e-63,-2.57818492128505e-29,5.66733264318564,0.00234047426419838
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.05,100,0.372074093746972,0.0691573613225559,0,0.00180517249784053,2.45111248225464,0.156737151279612,0,0.0261023911745426,5.55516261157855,0.39869761545477
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.1,100,0.609679400534185,0.125461855918205,0,0.00658359899679079,4.00157001958925,0.170663603514314,0,0.0524749052100981,5.44326683405015,0.693518744538113
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.15,100,0.754961479248908,0.170622229272441,0,0.0134049555483382,4.93647096063464,0.184340138770394,0,0.0785651178366318,5.33335981952493,0.903088775699604
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.2,100,0.838466943557792,0.206416951756061,0,0.0214586865727782,5.46179910666232,0.197550132298727,0,0.103957966582792,5.22718278189344,1.04537353138136
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.25,100,0.881291452622934,0.234489435982492,0,0.0301040086610383,5.71930627151874,0.210157243574562,0,0.128381086912956,5.12583279560119,1.13600053794561
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.3,100,0.897560847259169,0.256251630824763,0,0.0388688362149149,5.80353407790663,0.222091228594013,0,0.151682297942116,5.02987633444927,1.18769025901434
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.35,100,0.89657210570554,0.272864144647392,0,0.0474233208020384,5.77642559754403,0.233329644574506,0,0.173798286555095,4.93949592874406,1.21037498066601
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.4,100,0.884396969213925,0.285256813245052,0,0.0555468021917065,5.67822704052533,0.24388140962991,0,0.19472559326388,4.85462204772077,1.21161965974495
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.45,100,0.864993693183528,0.29416450079729,0,0.0630976916481718,5.53501961613819,0.253774249558691,0,0.214497981493874,4.77503385204883,1.19710777995019
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.5,100,0.840945929398542,0.300164514131084,0,0.0699894835420844,5.36370885223434,0.263045979320486,0,0.23317041238099,4.70042920266647,1.17108173290775
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.55,100,0.813943468456872,0.303709780898192,0,0.0761729607022853,5.17526015194418,0.271738825144065,0,0.250808388445743,4.6304702777275,1.13670203906859
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.6,100,0.78509241149404,0.305156106686715,0,0.0816235208679281,4.97677928576339,0.279895915103755,0,0.267481197588242,4.56481178627778,1.09632495230894
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.65,100,0.755115183740173,0.304783700507562,0,0.0863323657066143,4.77284922088447,0.287559223844152,0,0.283257817143251,4.50311750660254,1.05171091168584
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.7,100,0.724480049704765,0.302813827535207,0,0.0903004644999893,4.56639248004324,0.294768453549803,0,0.298204560983894,4.44506930413307,1.00417878471134
