"rep","b","g","x","c","a","w","r","mu","m","theta","tau_s","ep_s","S.pos","P.pos","I_s.pos","I_p.pos","H.pos","S.neg","P.neg","I_s.neg","I_p.neg","H.neg","S.pt.eq","P.pt.eq","I_s.pt.eq","I_p.pt.eq","H.pt.eq","S.cyc1","P.cyc1","I_s.cyc1","I_p.cyc1","H.cyc1","S.cyc2","P.cyc2","I_s.cyc2","I_p.cyc2","H.cyc2","S.NA","P.NA","I_s.NA","I_p.NA","H.NA","qual"
1,8.68360347732678,0.955,1,0.8,0.1,1,2,0.15,0.0958992938045412,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.35866810847382","0.268862312583127","1.18557036979951","0.271045397820779","0.801175766568916","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
2,12.7701471744255,0.955,1,0.8,0.1,1,2,0.15,0.812655958952382,4,0.8,27,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","2.86355082192964","-10.3910212327485","2.85236609690683","10.3908806324049","-8.51283557602478","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
3,4.77978146559662,0.955,1,0.8,0.1,1,2,0.15,0.0699996587121859,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.996493426241907","0.181162532233392","0.968756856949867","0.214426055042244","0.68592546766677","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
4,13.2422587681971,0.955,1,0.8,0.1,1,2,0.15,0.776093319896609,4,0.8,27,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","3.57903274943094","3.34271361258576","5.58572310733927","4.97591316270825","5.47500243049918","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
5,15.902748763043,0.955,1,0.8,0.1,1,2,0.15,0.938687056978233,4,0.8,27,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","4.43279503221512","3.96764369986389","4.50944617218262","4.15575720171929","4.75541367047215","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
6,12.0588033422489,0.955,1,0.8,0.1,1,2,0.15,0.224623049306683,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.77666900477162","0.668679570768711","1.4117190855154","0.616350826705254","1.14865638143737","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
7,3.57781515203856,0.955,1,0.8,0.1,1,2,0.15,0.115279599651694,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.08331578730728","0.295562495954166","1.08011283933391","0.348277870563745","0.868531092565939","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
8,2.40832750668901,0.955,1,0.8,0.1,1,2,0.15,0.0507954889209941,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","2.9292761722286e-16","0","2.51320311541225e-16","5.98950323022192e-17","2.18534205191731e-16","FALSE","FALSE","FALSE","FALSE","FALSE","pos.pt.eq"
9,23.38276510473,0.955,1,0.8,0.1,1,2,0.15,0.773792951833457,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,3.47358184529128,0.955,1,0.8,0.1,1,2,0.15,0.0674992330605164,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.930261335550279","0.170571559937486","0.929042897901884","0.21289312867528","0.66908105201859","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
11,6.66527182782416,0.955,1,0.8,0.1,1,2,0.15,0.115244856663048,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.29809984179277","0.313741466362928","1.18358583289317","0.333532988654847","0.883385672119281","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
12,6.03893408465027,0.955,1,0.8,0.1,1,2,0.15,0.140573148964904,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.29856730481702","0.380242559064238","1.20862907392064","0.407196619318277","0.964290617755953","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
13,4.68972419601521,0.955,1,0.8,0.1,1,2,0.15,0.22345650694333,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.26386212819688","0.600328365555323","1.24213441671858","0.64104351594448","1.11983462514229","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
14,10.8789661414012,0.955,1,0.8,0.1,1,2,0.15,0.289172036387026,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.83184931266905","0.873104786205042","1.49243939692611","0.811058450561432","1.30061976445772","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
15,3.28114107478945,0.955,1,0.8,0.1,1,2,0.15,0.099652383569628,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.03184491733954","0.254132595129176","1.03696850272005","0.306762415295178","0.814633542251193","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
